Boundary Type, .005, .010, .015, .020, .025, .030, .035, .040, .045, .050, >.050, Average Delta, Number of Boundaries, Number of Positive Deltas, Number of Negative Deltas, STD of Delta
consonants-phones, 34.71, 60.32, 74.81, 84.01, 90.11, 93.58, 95.67, 97.27, 98.18, 98.77, 100.0, -0.00257774019059, 1870, 667, 973, 0.000251679778905
trill-fricVoiced, 0.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00699071271475, 2, 1, 1, 0.000192856751757
pause-approx, 39.29, 85.71, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00368036168511, 28, 6, 19, 3.4162165314e-05
stops-fric, 38.1, 71.43, 90.48, 90.48, 95.24, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00138418829659, 21, 11, 7, 0.000105712516278
fricVoiced-nasals, 0.0, 0.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0173317194866, 2, 0, 2, 6.68376315531e-06
pause-fricVoiced, 25.0, 25.0, 25.0, 25.0, 50.0, 75.0, 75.0, 75.0, 75.0, 100.0, 100.0, 7.97728068662e-05, 4, 2, 1, 0.000950527719422
fricVoiceless-stopsVoiced, 33.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.000366541311802, 3, 1, 1, 4.5153982079e-05
consonants-fricVoiceless, 30.16, 42.86, 60.32, 69.84, 80.95, 90.48, 95.24, 98.41, 100.0, 100.0, 100.0, -0.0101874913411, 63, 13, 38, 0.000211757106094
pause-stops, 30.3, 42.42, 54.55, 78.79, 87.88, 87.88, 87.88, 93.94, 96.97, 96.97, 100.0, -0.0121487858994, 33, 9, 24, 0.00024262610124
vowels-approx, 29.39, 48.99, 63.18, 76.69, 79.05, 84.46, 89.19, 93.92, 95.95, 96.28, 100.0, -0.00907853638629, 296, 57, 183, 0.000379857987695
fricVoiceless-trill, 28.57, 57.14, 71.43, 85.71, 85.71, 85.71, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00978387850132, 7, 1, 4, 0.000131685466253
approx-phones, 26.67, 54.1, 66.41, 76.41, 84.36, 90.51, 94.1, 96.67, 97.95, 98.46, 100.0, -0.00120128747656, 390, 156, 170, 0.000336539237665
approx-pause, 0.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0133076202915, 2, 0, 2, 1.09403519926e-05
approx-stopsVoiceless, 26.67, 53.33, 63.33, 66.67, 83.33, 93.33, 96.67, 100.0, 100.0, 100.0, 100.0, -0.00420234290701, 30, 14, 12, 0.000271889488695
consonants-fricVoiced, 25.64, 53.85, 66.67, 79.49, 92.31, 97.44, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00151527384834, 39, 19, 15, 0.000201081028942
pause-vowels, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
