Boundary Type, .005, .010, .015, .020, .025, .030, .035, .040, .045, .050, >.050, Average Delta, Number of Boundaries, Number of Positive Deltas, Number of Negative Deltas, STD of Delta
consonants-phones, 28.66, 49.11, 61.98, 71.93, 78.09, 82.9, 86.68, 89.36, 91.49, 93.02, 100.0, -0.00212117089253, 6936, 2645, 3888, 0.00116655447158
trill-fricVoiced, 0.0, 40.0, 40.0, 60.0, 60.0, 60.0, 60.0, 80.0, 100.0, 100.0, 100.0, -0.0215661139257, 5, 0, 5, 0.000213853614923
pause-approx, 20.91, 37.27, 51.82, 66.36, 75.45, 81.82, 88.18, 92.73, 94.55, 96.36, 100.0, 0.0162355054504, 110, 98, 12, 0.000290161192935
stops-fric, 29.41, 49.02, 62.75, 78.43, 78.43, 84.31, 88.24, 92.16, 98.04, 100.0, 100.0, -0.00791101411985, 51, 16, 34, 0.000312529082611
fricVoiced-nasals, 15.79, 26.32, 42.11, 57.89, 63.16, 63.16, 63.16, 68.42, 84.21, 84.21, 100.0, 0.00419133948324, 19, 8, 11, 0.00134951933747
pause-fricVoiced, 7.69, 23.08, 30.77, 46.15, 61.54, 76.92, 92.31, 92.31, 92.31, 92.31, 100.0, 0.0222525704492, 13, 13, 0, 0.000199565523242
fricVoiceless-stopsVoiced, 10.0, 15.0, 20.0, 35.0, 55.0, 75.0, 80.0, 80.0, 90.0, 95.0, 100.0, 0.0123334359378, 20, 14, 6, 0.000649016305735
consonants-fricVoiceless, 16.9, 27.23, 37.56, 48.36, 57.28, 67.61, 76.53, 84.04, 91.55, 94.37, 100.0, -0.0190057384726, 213, 25, 182, 0.000452066495827
pause-stops, 20.55, 42.47, 58.9, 71.23, 80.82, 82.19, 84.93, 90.41, 91.78, 91.78, 100.0, 0.00741150881004, 73, 38, 34, 0.000727966735991
vowels-approx, 24.75, 39.29, 50.0, 58.72, 66.11, 72.34, 76.25, 79.9, 82.56, 85.05, 100.0, -0.0120241621618, 1204, 283, 846, 0.00210173640136
fricVoiceless-trill, 48.72, 66.67, 84.62, 92.31, 94.87, 94.87, 97.44, 97.44, 97.44, 100.0, 100.0, 0.00194192493002, 39, 19, 16, 0.000163029546507
approx-phones, 23.93, 40.45, 52.81, 64.18, 71.38, 77.59, 83.08, 87.18, 90.22, 92.2, 100.0, -0.00764627995955, 1513, 542, 909, 0.00101160111514
approx-pause, 20.0, 20.0, 20.0, 20.0, 40.0, 60.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0158437681205, 5, 1, 4, 0.000439003413732
approx-stopsVoiceless, 14.47, 30.26, 40.13, 48.03, 56.58, 63.82, 73.68, 78.29, 82.24, 84.87, 100.0, -0.0255850914482, 152, 17, 131, 0.000847572915851
consonants-fricVoiced, 17.93, 34.48, 47.59, 63.45, 68.97, 77.24, 85.52, 91.03, 95.17, 95.86, 100.0, -0.0109014185547, 145, 43, 96, 0.000479012609582
pause-vowels, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
phones-stopsVoiced, 21.12, 38.99, 49.82, 63.18, 72.2, 79.42, 84.12, 87.55, 89.71, 91.52, 100.0, 0.0120248603425, 554, 393, 152, 0.000780234345243
